"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"115","24-32-1-16-1-32-9-16","cifar100","0.1375","0.0582184048504832","0.8061630217640655","0.9249858260154724","15","0.22909684479236603","0.7127978205680847","2.3272516843273356","gaussian","0"
"116","12-64-24-8-6-16-1-16","cifar100","0.01","-0.08092527611961345","0.7252377456444521","0.703139066696167","16","-0.014116832986474037","0.7104393243789673","2.3548200450309493","gaussian","0"
"117","3-64-6-16-1-16-9-16","cifar100","0.2026","0.1","0.8252377456444521","0.8699061274528503","17","0.1076127290725708","0.7027488946914673","2.380425736735434","gaussian","0"
"118","3-8-3-8-1-8-24-8","cifar100","0.0956","-0.0047121767165525935","0.8205255689278995","0.9037766456604004","18","-0.41102179884910583","0.7253673672676086","2.4043176819614187","gaussian","0"
"119","3-32-3-32-24-16-24-2","cifar100","0.01","-0.08936974137324209","0.7311558275546575","1.2607754468917847","19","0.45584791898727417","0.7136677503585815","2.426701044284788","gaussian","0"
"120","9-2-3-16-24-8-9-64","cifar100","0.217","0.1","0.8311558275546574","0.9037766456604004","20","-0.41102179884910583","0.7253673672676086","2.4477468306808166","gaussian","0"
"121","1-2-24-32-24-64-3-2","cifar100","0.0608","-0.04779663447887494","0.7833591930757825","1.0117696523666382","21","0.26010289788246155","0.7130329012870789","2.467599010262171","gaussian","0"
"122","1-8-24-2-3-32-3-4","cifar100","0.0607","-0.03833730758309995","0.7450218854926826","0.7610352039337158","22","-0.10909435153007507","0.6962319612503052","2.48637987980852","gaussian","0"
"123","6-8-12-16-1-4-24-64","cifar100","0.2195","0.1","0.8450218854926825","0.7586745619773865","23","-0.09788557887077332","0.702549397945404","2.504194168162345","gaussian","0"
"124","9-2-6-64-1-16-24-2","cifar100","0.0576","-0.05939587685318397","0.7856260086394986","0.9965084791183472","24","0.11607971787452698","0.7120234370231628","2.5211322180115605","gaussian","0"
"125","9-2-1-16-6-8-6-8","cifar100","0.1135","0.008383298517452828","0.7940093071569514","0.7436332106590271","25","-0.056077565997838974","0.7042999863624573","2.537272482359039","gaussian","0"
"126","12-2-3-2-24-8-1-2","cifar100","0.0488","-0.05799336118603774","0.7360159459709137","0.6936261057853699","26","-0.07850411534309387","0.696721613407135","2.552683504871484","gaussian","0"
"127","3-8-3-32-12-16-3-64","cifar100","0.2284","0.1","0.8360159459709137","0.7589178085327148","27","-0.06536467373371124","0.7081031799316406","2.567425506613319","gaussian","0"
"128","12-4-1-16-12-8-9-8","cifar100","0.1336","0.011764248840935826","0.8477801948118495","1.2671209573745728","28","0.2504614293575287","0.7081141471862793","2.5815516691227405","gaussian","0"
"129","3-2-3-64-3-16-24-64","cifar100","0.2455","0.1","0.9477801948118495","0.9034280776977539","29","-0.22317862510681152","0.7100619673728943","2.5951091807422957","gaussian","0"
"130","12-2-3-16-6-32-24-64","cifar100","0.2849","0.1","1.0477801948118495","0.7437900900840759","30","-0.17605675756931305","0.724851131439209","2.608140096567727","gaussian","0"
"131","1-64-3-16-1-16-3-16","cifar100","0.1201","-0.05564070459344085","0.9921394902184086","0.819301187992096","31","-0.045970503240823746","0.7191029191017151","2.620682050339242","gaussian","0"
"132","12-8-3-8-12-8-24-2","cifar100","0.0559","-0.1","0.8921394902184087","0.8262125849723816","32","-0.2697702646255493","0.7183283567428589","2.6327688477341593","gaussian","0"
"133","3-32-3-64-12-64-24-8","cifar100","0.2024","0.05952994906019787","0.9516694392786065","0.8728243708610535","33","-0.24055632948875427","0.7100655436515808","2.6444309639188845","gaussian","0"
"134","3-2-3-8-24-32-24-32","cifar100","0.207","0.052223959248158286","1.0038933985267648","0.7897192239761353","34","-0.3536745607852936","0.7140039801597595","2.6556959632518784","gaussian","0"
"135","3-2-6-16-1-8-1-64","cifar100","0.0819","-0.08332083260147335","0.9205725659252915","1.0034886598587036","35","0.08115698397159576","0.7140265703201294","2.666588855256623","gaussian","0"
"136","12-16-24-32-12-8-1-8","cifar100","0.01","-0.1","0.8205725659252915","0.9013677835464478","36","-0.28444167971611023","0.7088060975074768","2.677132398091701","gaussian","0"
"137","12-8-9-64-12-32-3-2","cifar100","0.05","-0.07084533286494298","0.7497272330603485","0.7426312565803528","37","0.06495806574821472","0.7135185599327087","2.687347358509586","gaussian","0"
"138","24-64-3-2-24-16-24-8","cifar100","0.1084","0.0017237337080456133","0.7514509667683941","0.819301187992096","38","-0.045970503240823746","0.7191029191017151","2.697252735553858","gaussian","0"
"139","12-2-24-8-1-4-9-64","cifar100","0.1693","0.06227898696643651","0.8137299537348306","0.7433658242225647","39","-0.12374751269817352","0.7170805335044861","2.7068659538771573","gaussian","0"
"140","9-8-3-32-1-16-9-2","cifar100","0.0565","-0.0629768104268508","0.7507531433079798","0.9313511252403259","40","0.2701159119606018","0.7085375189781189","2.716203031481239","gaussian","0"
"141","1-4-3-32-12-8-9-8","cifar100","0.1405","0.033618551658519374","0.7843716949664992","0.8765227794647217","41","-0.007424209266901016","0.7217955589294434","2.725278725820281","gaussian","0"
"142","1-16-9-16-12-32-9-2","cifar100","0.0323","-0.08130515867318452","0.7030665362933146","0.8874414563179016","42","0.08645157516002655","0.7022539377212524","2.734106661519762","gaussian","0"
"143","3-2-3-16-12-16-3-8","cifar100","0.1209","0.023555873061452376","0.726622409354767","0.8874414563179016","43","0.08645157516002655","0.7022539377212524","2.7426994424083593","gaussian","0"
"144","9-64-3-8-24-8-3-8","cifar100","0.154","0.0519446984491619","0.7785671078039289","0.8093744516372681","44","-0.11929786205291748","0.7142879366874695","2.751068750110859","gaussian","0"
"145","3-32-6-8-6-32-3-64","cifar100","0.2519","0.1","0.8785671078039289","0.8502181768417358","45","-0.2843315005302429","0.7191498279571533","2.7592254310839914","gaussian","0"
"146","12-32-24-2-24-16-9-16","cifar100","0.01","-0.1","0.7785671078039289","0.7654040455818176","46","-0.11135067045688629","0.7018911838531494","2.767179573677536","gaussian","0"
"147","12-2-6-32-24-8-12-2","cifar100","0.0697","-0.04456831439402913","0.7339987934098998","0.8417588472366333","47","-0.02896663174033165","0.7209520936012268","2.7749405765565713","gaussian","0"
"148","1-32-3-32-12-32-3-8","cifar100","0.141","0.035645348484776684","0.7696441418946764","0.8818538784980774","48","-0.259563684463501","0.7115985751152039","2.782517209617181","gaussian","0"
"149","1-64-9-32-12-8-9-64","cifar100","0.2229","0.1","0.8696441418946764","0.8765227794647217","49","-0.007424209266901016","0.7217955589294434","2.7899176683589166","gaussian","0"
